MARBLE,,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX144T,IVORY 4X4 SQUARE TUMBLED TRAVERTINE,4x4,Antique,"3/8"" (8.5mm)",$2.25,Tile
MX818T,IVORY CROSS CUT TRAVERTINE FILLED HONED SLAB,Slab,Honed,"3/4"" (2cm)",$13.20,Slab
MXMV-4,IVORY VEIN CUT TRAVERTINE FILLED HONED SLAB,Slab,Honed,"3/4"" (2cm)",$17.00,Slab
MX104T,NOCE 12X12 CROSS CUT FILLED HONED TRAVERTINE,12X12,Honed,"3/8"" (8.5mm)",$4.70,Tile
MX858T,NOCE 12X12 CROSS CUT FILLED POLISHED TRAVERTINE,12x12,Honed,"3/8"" (8.5mm)",$4.50,Tile
MX69T,NOCE 12X12 TUMBLED TRAVERTINE,12x12,Antique,"3/8"" (8.5mm)",$4.25,Tile
MX21T,NOCE 12X12 VEIN CUT FILLED POLISHED TRAVERTINE,12X12,Polished,"3/8"" (8.5mm)",$4.50,Tile
MX103T,NOCE 12X24 CROSS CUT FILLED HONED TRAVERTINE,12x24,Honed,"1/2"" (12mm)",$4.25,Tile
MX840T,NOCE 18X18 CHISELED FILLED HONED TRAVERTINE,18x18,Honed,"1/2"" (12mm)",$4.75,Tile
MX806T,NOCE 18X18 CROSS CUT FILLED HONED TRAVERTINE,18x18,Honed,"1/2"" (12mm)",$6.10,Tile
MX795T,NOCE 18X18 VEIN CUT FILLED HONED TRAVERTINE,18X18,Honed,"1/2"" (12mm)",$4.50,Tile
MX165T,NOCE 3X6 SUBWAY TUMBLED TRAVERTINE,3x6,Antique,"3/8"" (8.5mm)",$4.50,Subway tile
MX82T,NOCE 4X4 SQUARE TUMBLED TRAVERTINE,4x4,Antique,"3/8"" (8.5mm)",$2.25,Tile
MX91T,NOCE 6X6 SQUARE TUMBLED TRAVERTINE,6x6,Antique,"3/8"" (8.5mm)",$4.50,Tile
MX136T,NOCE 8X8 CHISELED EDGE PAVER TUMBLED TRAVERTINE,8x8,Tumbled,1 1/4,$2.50,Paver
MX44T,NOCE CROSS CUT TRAVERTINE FILLED HONED SLAB,Slab,Honed,"3/4"" (2cm)",$13.20,Slab
MX823T,NOCE VEIN 8X32 CUT FILLED HONED TRAVERTINE,8x32,Honed,"3/8"" (8.5mm)",$5.00,Tile
MX823T,NOCE VEIN 8X32 CUT FILLED HONED TRAVERTINE,8x32,Honed,"3/8"" (8.5mm)",$5.00,Tile
MX60T,OCEAN SILVER-ITALIAN VEIN CUT TRAVERTINE FILLED HONED SLAB,Slab,Honed,"3/4"" (2cm)",$18.70,Slab
MX300T,SCABOS 4X4 STRAIGHT EDGE FILLED HONED TRAVERTINE,4x4,Honed,"3/8"" (8.5mm)",$3.70,Tile
MX835T,SILVER 12X12 CROSS CUT FILLED HONED TRAVERTINE,12x12,Honed,"3/8"" (8.5mm)",$4.75,Tile
MX889T,SILVER 12X24 VEIN CUT FILLED POLISHED TRAVERTINE,12x24,Polished,"1/2"" (12mm)",$6.00,Tile
MX888T,SILVER 12X24 VEIN CUT HONED FILLED TRAVERTINE,12x24,Honed,"1/2"" (12mm)",$5.75,Tile
MX813T,SILVER 18X18 CROSS CUT FILLED HONED TRAVERTINE,18X18,Honed,"1/2"" (12mm)",$5.25,Tile
MX813T,SILVER 18X18 CROSS CUT FILLED HONED TRAVERTINE,18X18,Honed,"1/2"" (12mm)",$5.25,Tile
MX58T,SILVER TURKISH CROSS CUT TRAVERTINE FILLED HONED SLAB,Slab,Honed,"3/4"" (2cm)",$12.00,Slab
MX24T,TUSCANY GOLD 12X12 CROSS CUT FILLED HONED TRAVERTINE,12x12,Honed,"3/8"" (8.5mm)",$5.25,Tile
MX37T,TUSCANY GOLD 12X12 CROSS CUT FILLED POLISHED TRAVERTINE,12x12,Polished,"3/8"" (8.5mm)",$4.75,Tile
MX810T,TUSCANY GOLD 18X18 CROSS CUT FILLED HONED TRAVERTINE,18x18,Honed,"1/2"" (12mm)",$5.25,Tile
MX809T,TUSCANY GOLD 18X18 TUMBLED TRAVERTINE,18x18,Antique,"1/2"" (12mm)",$4.75,Tile
MX164T,TUSCANY GOLD 3X6 SUBWAY TUMBLED TRAVERTINE,3x6,Antique,"3/8"" (8.5mm)",$3.00,Subway tile
MX88T,TUSCANY GOLD 4X4 SQUARE TUMBLED TRAVERTINE,4x4,Antique,"3/8"" (8.5mm)",$2.25,Tile
MX92T,TUSCANY GOLD 6X6 SQUARE TUMBLED TRAVERTINE,6x6,Antique,"3/8"" (8.5mm)",$4.00,Tile
MX140T,TUSCANY GOLD CROSS CUT TRAVERTINE FILLED HONED SLAB,Slab,Honed,"3/4"" (2cm)",$11.00,Slab
MX214T,WALNUT (LIGHT NOCE) 12X12 CROSS CUT FILLED HONED TRAVERTINE,12x12,Honed,"3/8"" (8.5mm)",$4.75,Tile
MX215T,WALNUT (LIGHT NOCE) 18X18 CROSS CUT FILLED HONED TRAVERTINE,18X18,Honed,"1/2"" (12mm)",$5.25,Tile
MX105T,WALNUT (LT NOCE) 12X24 CROSS CUT FILLED HONED TRAVERTINE,12x24,Honed,"1/2"" (12mm)",$4.25,Tile
,,,,,,
QUARTZITE,,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX8191,ATLANTIC BLUE QUARTZITE HONED SLAB,Slab,Honed,"3/4"" (2cm)",$38.50,Slab
MX622,BRILLIANT BLACK QUARTZITE POL SLAB,Slab,Polished,"3/4"" (2cm)",$30.00,Slab
MX8199,CIELO BRUSHED QUARTZITE SLAB,Slab,Brushed,"3/4"" (2cm)",$32.00,Slab
mx1019,CRISTALLO QUARTZITE POLISH SLAB,Slab,Polished,"3/4"" (2cm)",$47.00,Slab
MX8189,GLACIER WHITE QUARTZITE POLISH SLAB,Slab,Polished,"3/4"" (2cm)",$35.20,Slab
MX8171,MADRA PEARL QUARTZITE POLISH SLAB,Slab,Polished,"3/4"" (2cm)",$29.00,Slab
MX8164,NACARADO QUARTZITE POLISH SLAB,Slab,Polished,"3/4"" (2cm)",$24.00,Slab
MX8170,TAJ MAHAL QUARTZITE BRUSHED SLAB,Slab,Brushed,"3/4"" (2cm)",$39.00,Slab
MX8187,TAJ MAHAL QUARTZITE HONED SLAB,Slab,Honed,"3/4"" (2cm)",$38.00,Slab
MX8169,TAJ MAHAL QUARTZITE POLISHED SLAB,Slab,Polished,"3/4"" (2cm)",$38.00,Slab
,,,,,,
GRANITE,,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX1006G,ASPEN WHITE GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$13.00,Slab
MX1001G,AURUS GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$14.00,Slab
MX2076G,BETULARIE GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$18.00,Slab
MX1235G,BIANCO ROMANO BRUSHED GRANITE SLAB,Slab,Brushed,"3/4"" (2cm)",$14.00,Slab
MX1113G,BIANCO ROMANO POLISHED GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$13.00,Slab
MX1091G,BLACK ABSOLUTE POLISHED SLAB,Slab,Polished,"3/4"" (2cm)",$12.00,Slab
MX1206G,BLACK GALAXY POLISHED GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$12.00,Slab
MX1075G,BLACK THUNDER GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$12.00,Slab
MX1106G,BLACK VERMONT GRANITE DEEP-TEK GRANITE SLAB,Slab,Deep Tek,"3/4"" (2cm)",$24.20,Slab
MX1011G,BLUE GUANABARA GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$12.00,Slab
MX1236G,BRANCO ROMANIX POLISHED GRANITE SLABS,Slab,Polished,"3/4"" (2cm)",$12.00,Slab
MX1336G,FOUR SEASONS POLISHED GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$14.00,Slab
MX1335G,GENESIS GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$15.00,Slab
MX1209G,GERIBA GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$14.50,Slab
MX1088G,GIALLO FIORITO BRUSHED SLAB,Slab,Brushed,"3/4"" (2cm)",$10.00,Slab
MX1078G,GIALLO PORTOFINO GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$9.50,Slab
MX1014G,GIALLO VENEZIANO GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$14.50,Slab
MX1146G,GIALLO VICENZA GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$10.00,Slab
MX1201G,GOLDEN CRYSTAL GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$16.00,Slab
MX2044G,GRIS CARMEL 12X12 POLISHED GRANITE,12x12,Polished,"1/2""",$5.75,Tile
MX2812G,GRIS CARMEL 18X18 POLISHED GRANITE,18x18,Polished,"3/4""(2CM)",$7.60,Tile
MX1020G,JUPARANA CLASSICO GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$16.00,Slab
MX1000G,JUPARANA CREMA BORDEUX GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$14.50,Slab
MX1100G,JUPARANA DELICATUS GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$14.50,Slab
MX1152G,LAPIDUS GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$14.50,Slab
MX2056G,MADURA GOLD GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$13.00,Slab
MX1041G,MASCARELLO POLISHED GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$19.00,Slab
MX1102G,PERSA CLASSICO (see Gldn Bch) GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$17.00,Slab
MX1123G,PRAIA DORADO GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$12.00,Slab
MX1184G,PURPLE DUNES GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$16.00,Slab
MX1057G,ROSA BETA GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$8.00,Slab
MX1077G,SANTA CECILIA GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$9.00,Slab
MX1111G,SATURNIA (COSMOS) GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$18.00,Slab
MX1114G,SATURNIA LEATHERED GRANITE SLAB,Slab,Leather,"3/4"" (2cm)",$20.00,Slab
MX1138G,SEA FOAM GREEN GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$21.00,Slab
MX1019G,SIBERIAN WHITE GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$9.50,Slab
MX1117G,TAN BROWN GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$8.50,Slab
MX1982G,TYPHOON BORDEAUX GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$18.00,Slab
MX2079G,UBATUBA/GREEN BRUSHED SLAB,Slab,Brushed,"3/4"" (2cm)",$8.00,Slab
MX1015G,UBATUBA/GREEN GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$7.50,Slab
MX1073G,VERDE BUTTERFLY LT GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$7.50,Slab
MX1055G,VIOLETTA GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$11.00,Slab
MX1252G,VOLGA BLUE GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$14.50,Slab
MX1046G,ZIMBAWA POLISHED GRANITE SLAB,Slab,Polished,"3/4"" (2cm)",$13.50,Slab
,,,,,,
NATURAL STONE MOSAICS,,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX334,BIANCO MARE 1X2 MARBLE MOSAIC BASKETWEAVE POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$7.50,Mosaic
MX337,"BIANCO MARE 2"" MARBLE MOSAIC HEXAGON POLISHED",Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$7.50,Mosaic
MX233,BRECCIA GRIGIO 1X2 MARBLE MOSAIC BRICK POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$8.00,Mosaic
MX231,BRECCIA GRIGIO 2X2 MABRLE MOSAIC SQUARE POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$5.50,Mosaic
MXORA-51,"CALACATTA GOLD 1"" MARBLE MOSAIC HEXAGON HONED",Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$15.95,Mosaic
MXORA-53,"CALACATTA GOLD 1"" MARBLE MOSAIC HEXAGON POLISHED",Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$15.95,Mosaic
MXORA-42,CALACATTA GOLD 1X2 MARBLE MOSAIC BRICK HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$14.85,Mosaic
MX411,CALACATTA GOLD 1X2 MARBLE MOSAIC HERRINGBONE HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$14.25,Mosaic
MX412,CALACATTA GOLD 1X2 MARBLE MOSAIC HERRINGBONE POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$14.25,Mosaic
MXEL-11,CALACATTA GOLD 1X2 WITH GRAY DOT MARBLE MOSAIC BAKSETWEAVE POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$15.95,Mosaic
MXEL-17,CALACATTA GOLD 1X2 WITH GREY DOT MARBLE MOSAIC BASKETWEAVE HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$15.95,Mosaic
MX414,CALACATTA GOLD 1X4 MARBLE MOSAIC HERRINGBONE HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$16.50,Mosaic
MX413,CALACATTA GOLD 1X4 MARBLE MOSAIC HERRINGBONE POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$16.50,Mosaic
MXEL-9,"CALACATTA GOLD 2"" MARBLE MOSAIC HEXAGON HONED",Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$15.95,Mosaic
MXORA-50,"CALACATTA GOLD 2"" MARBLE MOSAIC HEXAGON POLISHED",Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$15.95,Mosaic
MXORA-46,"CALACATTA GOLD 2"" MARBLE MOSAIC LANTERN HONED",Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$17.60,Mosaic
MXEL-21,"CALACATTA GOLD 2"" MARBLE MOSAIC LANTERN POLISHED",Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$17.60,Mosaic
MXEL-24,CALACATTA GOLD 2X4 MARBLE MOSAIC DEEP BEVELED SUBWAY HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$14.50,Mosaic
MXEL-25,CALACATTA GOLD 2X4 MARBLE MOSAIC DEEP BEVELED SUBWAY POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$14.50,Mosaic
MXEL-19,"CALACATTA GOLD 3"" MARBLE MOSAIC HEXAGON POLISHED",Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$16.50,Mosaic
MXEL-4,"CARRARA WHITE 1"" MARBLE MOSAIC HEXAGON HONED",Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$10.10,Mosaic
MXORA-14,"CARRARA WHITE 1"" MARBLE MOSAIC HEXAGON POLISHED",Aprxmtly 12x12,Polished,"3/8""",$10.10,Mosaic
MXORA-34,CARRARA WHITE 1X1 MARBLE MOSAIC SQUARE HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$9.35,Mosaic
MXORA-33,CARRARA WHITE 1X1 MARBLE MOSAIC SQUARE POLISHED,Aprxmtly 12x12,Polished,"3/8""",$10.10,Mosaic
MXORA-54,CARRARA WHITE 1X2 MARBLE MOSAIC HERRINGBONE HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$9.83,Mosaic
MXORA-55,CARRARA WHITE 1X2 MARBLE MOSAIC HERRINGBONE POLISHED,Aprxmtly 12x12,Polished,"3/8""",$9.83,Mosaic
MXEL-3,CARRARA WHITE 1X2 WITH GREY DOT MARBLE MOSAIC BASKETWEAVE POLISHED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$9.83,Mosaic
MXORA-59,CARRARA WHITE 1X2 WITH SANDY BEIGE DOT MARBLE MOSAIC BASKETWEAVE HONED,Aprxmtly 12x12,Honed,"3/8""",$9.83,Mosaic
MXORA-60,CARRARA WHITE 1X2 WITH SANDY BEIGE DOT MARBLE MOSAIC BASKETWEAVE POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$9.83,Mosaic
MXORA-4,"CARRARA WHITE 2"" MARBLE MOSAIC HEXAGON HONED",Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$10.10,Mosaic
MXORA-7,"CARRARA WHITE 2"" MARBLE MOSAIC HEXAGON POLISHED",Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$10.10,Mosaic
MXEL-7,"CARRARA WHITE 2"" MARBLE MOSAIC LANTERN HONED",Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$14.50,Mosaic
MXORA-45,"CARRARA WHITE 2"" MARBLE MOSAIC LANTERN POLISHED",Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$14.50,Mosaic
MXORA-6,CARRARA WHITE 2X2 MARBLE MOSAIC SQUARE HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$8.50,Mosaic
MXORA-32,CARRARA WHITE 2X2 MARBLE MOSAIC SQUARE POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$8.50,Mosaic
MXORA-18,CARRARA WHITE 2X4 MARBLE MOSAIC DEEP BEVELED SUBWAY HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$10.45,Mosaic
MXORA-29,CARRARA WHITE 2X4 MARBLE MOSAIC STRAIGHT EDGE SUBWAY HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$9.35,Mosaic
MXORA-30,CARRARA WHITE 2X4 MARBLE MOSAIC STRAIGHT EDGE SUBWAY POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$8.50,Mosaic
MXORA-41,"CARRARA WHITE 3"" MARBLE MOSAIC HEXAGON HONED",Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$10.61,Mosaic
MXORA-58,"CARRARA WHITE 3"" MARBLE MOSAIC HEXAGON POLISHED",Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$10.61,Mosaic
MXORA-1,CARRARA WHITE 3/4X1 1/2 MARBLE MOSAIC BRICK HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$8.50,Mosaic
MXORA-25,CARRARA WHITE 3/4X1 1/2 MARBLE MOSAIC BRICK POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$8.50,Mosaic
MXEL-20,CARRARA WHITE MARBLE MOSAIC RANDOM STRIP HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$9.00,Mosaic
MXEL-13,CARRARA WHITE MARBLE MOSAIC RANDOM STRIP POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$9.00,Mosaic
MX150T,CLASSICO 5/8X5/8 TRAVERTINE MOSAIC TUMBLED,Aprxmtly 12x12,Antique,"3/8"" (8.5mm)",$5.25,Mosaic
MX365T,CLASSICO CONCAVE WITH GLASS TRAVERTINE MOSAIC TUMBLED,Aprxmtly 12x12,Antique,"3/8"" (8.5mm)",$11.50,Mosaic
MX133,CREMA MARFIL 2X2 MARBLE MOSAIC SQUARE TUMBLED,Aprxmtly 12x12,Antique,"3/8"" (8.5mm)",#N/A,Mosaic
TMD-8146-MOS,GASCOGNE BEIGE 2X2 LIMESTONE MOSAIC SQUARE HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$5.00,Mosaic
MX199T,IVORY 2X4 TRAVERTINE MOSAIC SPLITFACE TUMBLED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$5.00,Mosaic
MX201T,IVORY 2X6 TRAVERTINE MOSAIC SPLITFACE HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$6.90,Mosaic
MX221,MARBLE MIX 1X1 MARBLE MOSAIC POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$7.00,Mosaic
MX220,MARBLE MIX 2X2 MARBLE MOSAIC POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$6.50,Mosaic
MX219,MARBLE MIX 2X5/8 MARBLE MOSAIC POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$7.60,Mosaic
MX224,MARBLE MIX 5/8X5/8 MOSAIC POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$7.50,Mosaic
TMD-8149-MOS,MOCHA CREAM 2X2 LIMESTONE MOSAIC SQUARE HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$5.00,Mosaic
MX325T,NOCE 1X2 TRAVERTINE MOSAIC SPLITFACE TUMBLED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$6.25,Mosaic
MX189T,NOCE 1X2 TRAVERTINE MOSAIC TUMBLED,Aprxmtly 12x12,Antique,"3/8"" (8.5mm)",$5.50,Mosaic
MX364T,NOCE 2X2 TRAVERTINE MOSAIC HEXAGON HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$8.00,Mosaic
MX142T,NOCE 2X2 TRAVERTINE MOSAIC SQUARE TUMBLED,Aprxmtly 12x12,Antique,"3/8"" (8.5mm)",$4.75,Mosaic
MX200T,NOCE 2X4 TRAVERTINE MOSAIC SPLITFAC TUMBLED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$5.00,Mosaic
MX204T,NOCE 2X6 TRAVERTINE MOSAIC SPLITFACE TUMBLED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$6.25,Mosaic
MX361T,NOCE CLASSICO TRAVERTINE MOSAIC BASKET WEAEVE HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$5.25,Mosaic
MX290,OYSTER WHITE 2X2 MARBLE MOSAIC SQUARE HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$5.50,Mosaic
MX213,OYSTER WHITE 2X2 MARBLE MOSAIC SQUARE POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$5.50,Mosaic
MX255,SANDY BEIGE 1X2 MARBLE MOSAIC BASKETWEAVE POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$7.00,Mosaic
MX207,SANDY BEIGE 1X2 MARBLE MOSAIC BRICK HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$7.00,Mosaic
MX243,SANDY BEIGE 1X2 MARBLE MOSAIC BRICK POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$7.00,Mosaic
MX149,SANDY BEIGE 2X2 MARBLE MOSAIC SQUARE HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",#N/A,Mosaic
MX204,SANDY BEIGE 2X2 MARBLE MOSAIC SQUARE POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$5.50,Mosaic
MX193,SANDY BEIGE 2X4 MARBLE MOSAIC BRICK HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$5.50,Mosaic
MX256,SANDY BEIGE WITH GLASS 5/8X2 1/2 MARBLE MOSAIC BRICK POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$9.00,Mosaic
MX257,SILVER WHITE GREY MARBLE MOSAIC RANDOM BRICK POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$8.50,Mosaic
MX211T,SILVER 1X2 TRAVERTINE MOSAIC SPLITFACE TUMBLED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$6.25,Mosaic
MX212T,SILVER 2X4 TRAVERTINE MOSAIC SPLITFACE TUMBLED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$5.00,Mosaic
MX216T,SILVER 2X6 TRAVERTINE MOSAIC SPLITFACE TUMBLED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$6.90,Mosaic
MX613,THASSOS WHITE 1X2 MARBLE MOSAIC HERRINGBONE POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$15.00,Mosaic
MX280,TUNDRA GREY 2X2 MARBLE MOSAIC SQUARE TUMBLED,Aprxmtly 12x12,Antique,"3/8"" (8.5mm)",$6.25,Mosaic
MX290T,TUSCANY GOLD 1X1 TRAVERTINE MOSAIC SQUARE TUMBLED,Aprxmtly 12x12,Antique,"3/8"" (8.5mm)",$5.00,Mosaic
MX294T,TUSCANY GOLD 1X2 HARLEQUIN TRAVERTINE MOSAIC DIAMOND TUMBLED,Aprxmtly 12x12,Antique,"3/8"" (8.5mm)",$5.50,Mosaic
MX198T,TUSCANY GOLD 1X2 TRAVERTINE MOSAIC DIAMOND TUMBLED,Aprxmtly 12x12,Antique,"3/8"" (8.5mm)",$5.50,Mosaic
MX326T,TUSCANY GOLD 1X2 TRAVERTINE MOSAIC SPLITFACE TUMBLED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$6.25,Mosaic
MX143T,TUSCANY GOLD 2X2 TRAVERTINE MOSAIC SQUARE TUMBLED,Aprxmtly 12x12,Antique,"3/8"" (8.5mm)",$4.75,Mosaic
MX310T,TUSCANY GOLD 2X4 TRAVERTINE MOSAIC SPLITFACE TUMBLED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$5.00,Mosaic
MX210T,TUSCANY GOLD 2X6 TRAVERTINE MOSAIC SPLITFACE TUMBLED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$6.25,Mosaic
MX131T,TUSCANY GOLD 5/8X5/8 TRAVERTINE MOSAIC SQUARE TUMBLED,Aprxmtly 12x12,Antique,"3/8"" (8.5mm)",$5.40,Mosaic
MX296T,VERDE LAGUNA 5/8X5/8 MARBLE MOSAIC SQUARE POLISHED,Aprxmtly 12x12,Polished,"3/8"" (8.5mm)",$11.00,Mosaic
MX423,WHITE DOLOMITE 1X4 MARBLE MOSAIC HERRINGBONE HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$17.60,Mosaic
MX421,"WHITE DOLOMITE 2"" MARBLE MOSAIC HEXAGON HONED",Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$17.60,Mosaic
MX424,WHITE DOLOMITE LARGE MABLE MOSAIC CHEVRON HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$17.60,Mosaic
MX422,WHITE DOLOMITE PICKET MARBLE MOSAIC HONED,Aprxmtly 12x12,Honed,"3/8"" (8.5mm)",$17.60,Mosaic
,,,,,,
NATURAL STONE PATTERNS,,,,,,
SKU,Description,Size,Finish,Thickness,Price,
MX855T-1,CHISELED WALNUT CONTINUOUS PATTERN BRUSHED,Pattern,Brushed,"1/2"" (12mm)",$4.95,Pattern
MX830T,CLASSICO CHISELED EDGE CONTINUOUS PATTERN FILLED HONED,Pattern,Honed,"1/2"" (12mm)",$5.25,Pattern
MX851T-1,CLASSICO CHISELED EDGE PATTERN UNFILLED HONED,Pattern,Brushed,"1/2"" (12mm)",$4.95,Pattern
MX862T,CLASSICO STRAIGHT EDGE PATTERN BRUSHED,Pattern,Brushed,"1/2"" (12mm)",$4.50,Pattern
MX861T,CLASSICO STRAIGHT EDGE TRAVERTINE PATTERN FILLED HONED,Pattern,Honed,"1/2"" (12mm)",$4.50,Pattern
MX833T,IVORY CHISELED EDGE CONTINUOUS PATTERN FILLED HONED,Pattern,Honed,"1/2"" (12mm)",$5.25,Pattern
MX885T,IVORY CHISELED EDGE PATTERN FILLED BRUSHED,Pattern,Brushed,"1/2"" (12mm)",$5.25,Pattern
