MARBLE,,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX741,CALACATTA GOLD 18X18 POLISHED,18x18,Polished,"1/2""",$24.00,Tile
MXEL-222,CALACATTA GOLD 3X6 DEEP BEVELED HONED SUBWAY,3x6,Honed,"3/8"" (8.5mm)",$16.50,Subway tile
MXEL-23,CALACATTA GOLD 3X6 DEEP BEVELED POLISHED SUBWAY,3x6,Polished,"3/8"" (8.5mm)",$16.50,Subway tile
MX263,CALACATTA GOLD 3X6 HONED SUBWAY,3x6,Honed,"3/8"" (8.5mm)",$15.15,Subway tile
MX264,CALACATTA GOLD 3X6 POLISHED SUBWAY,3x6,Polished,"3/8"" (8.5mm)",$15.15,Subway tile
MX105,CALACATTA GOLD 6X12 HONED,6x12,Honed,"3/8"" (8.5mm)",$17.25,Tile
MX103,CALACATTA GOLD 6X12 POLISHED,6x12,Polished,"3/8"" (8.5mm)",$17.25,Tile
MX295,CALACATTA GOLD CLASSIC POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$33.00,Slab
MX603,CALACATTA GOLD HONED MARBLE SLAB,Slab,Honed,"3/4"" (20mm)",$57.20,Slab
MX602,CALACATTA GOLD POLISHED MARBLESLAB,Slab,Polished,"3/4"" (20mm)",$57.20,Slab
MX604,CALACATTA GOLD SLAB EXTRA POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$99.00,Slab
MX283,CALACATTA MACHIA VAGLI POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$39.00,Slab
MX893,CALACATTA MACHIA VECHIA HONED MARBLE SLAB,Slab,Honed,"3/4"" (20mm)",$95.70,Slab
MX892,CALACATTA MACHIA VECHIA POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$95.70,Slab
MX296,CALACATTA MICHELANGELO POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$52.00,Slab
MX1499,CALACATTA MONET POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",#N/A,Slab
MX253,CALACATTA VAGLI POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$39.00,Slab
MX515,CARRARA STATUARIETTO POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$20.90,Slab
MX535,CARRARA VENETINO BIANCO HONED MARBLE SLAB,Slab,Honed,"3/4"" (20mm)",$17.35,Slab
MX516,CARRARA VENETINO BIANCO POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$17.35,Slab
MX513,"CARRARA WHITE ""C"" EXTRA HONED MARBLE SLAB",Slab,Honed,"3/4"" (20mm)",$15.75,Slab
MX510,"CARRARA WHITE ""C"" EXTRA POLISHED MARBLE SLAB",Slab,Polished,"3/4"" (20mm)",$15.75,Slab
MX419,"CARRARA WHITE ""C"" HONED 24X24",24x24,Honed,"3/8"" (8.5mm)",$12.95,Tile
MX420,"CARRARA WHITE ""C"" POLISHED 24X24",24x24,Polished,"3/8"" (8.5mm)",$12.95,Tile
MX324,CARRARA WHITE 12X12 HONED,12x12,Honed,"3/8"" (8.5mm)",$7.15,Tile
MX323,CARRARA WHITE 12X12 POLISHED,12x12,Polished,"3/8"" (8.5mm)",$7.15,Tile
MX320,CARRARA WHITE 12X24 HONED,12x24,Honed,"3/8"" (8.5mm)",$11.00,Tile
MX326,CARRARA WHITE 12X24 POLISHED,12x24,Polished,"3/8"" (8.5mm)",$8.55,Tile
MX733,CARRARA WHITE 18X18 HONED,18x18,Honed,"1/2""",$9.10,Tile
MX732,CARRARA WHITE 18X18 POLISHED,18x18,Polished,"1/2""",$9.10,Tile
MXORA-57,CARRARA WHITE 3X6 DEEP BEVELED POLISHED SUBWAY,3x6,Polished,"3/8"" (8.5mm)",$9.83,Subway tile
MXORA-2,CARRARA WHITE 3X6 HONED SUBWAY,3x6,Honed,"3/8"" (8.5mm)",$8.80,Subway tile
MXORA-20,CARRARA WHITE 3X6 POLISHED SUBWAY,3x6,Polished,"3/8"" (8.5mm)",$8.80,Subway tile
MX611,CARRARA WHITE 4X12 MICRO BEVELED HONED,4x12,Honed,"3/8"" (8.5mm)",$8.80,Tile
MXORA-10,CARRARA WHITE 5X12 BASEBOARD HONED,5x12,Honed,"3/8"" (8.5mm)",$11.90,Tile
MXORA-9,CARRARA WHITE 5X12 BASEBOARD POLISHED,5x12,Polished,"3/8"" (8.5mm)",$11.90,Tile
MXORA-39,CARRARA WHITE 6X12 MICRO BEVELED HONED,6x12,Honed,"3/8"" (8.5mm)",$8.80,Tile
MXORA-38,CARRARA WHITE 6X12 MICRO BEVELED POLISHED,6x12,Polished,"3/8"" (8.5mm)",$8.80,Tile
MX527,CARRARA WHITE CD POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$10.45,Slab
MX163,CARRARA WHITE HONED MARBLE SLAB,Slab,Honed,"3/4"" (20mm)",#N/A,Slab
MX511,CARRARA WHITE POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$13.50,Slab
MX145,CREMA MARFIL 12X12 SELECT POLISHED,12X12,Polished,"3/8"" (8.5mm)",$6.75,Tile
MX731,CREMA MARFIL 18X18 SELECT POLISHED,18x18,Polished,"5/8""",$9.65,Tile
MX517,CREMA MARFIL SELECT POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$12.10,Slab
MX307,DAINO REAL (SCORPIO) 12X12 POLISHED,12x12,Polished,"3/8"" (8.5mm)",$7.25,Tile
MX178,EMPERADOR LIGHT 12X12 POLISHED,12x12,Polished,"3/8"" (8.5mm)",$7.00,Tile
MX179,EMPERADOR LIGHT(TURKISH) 12X12 POLISHED,12x12,Polished,"3/8"" (8.5mm)",$6.60,Tile
MX190,EMPERADOR LIGHT(TURKISH) 12x24 POLISHED,12x24,Polished,"1/2""",$6.90,Tile
MX306,FRENCH VANILLA 12X12 POLISHED,12x12,Polished,"3/8"" (8.5mm)",$7.75,Tile
MX175,GIALLO ANTICATO 12X12 MARBLE POLISHED,12x12,Polished,"3/8"" (8.5mm)",#N/A,Tile
