CODE,STOCK NAME,FINISH,PRICE PER SQ.FT,PRICE PER BOX/SLAB,SQ.FT PER BOX,PIECES PER BOX,COLLECTION,THICKNESS
MXCER-180,Victoria White Porcelain Tile 24x24,Matte,$2.50,$29.03,11.61,3,Victoria Series/Bottega,8.5mm
MXCER-185,Victoria White Hexagon Porcelain Mosaic 3.6x3.6,Matte,$16.00,$104.80,6.55,6,Victoria Series/Bottega,8.5mm
MXCER-174,Polis Marsili Porcelain Paver 18x36,R11,$3.25,$28.28,8.70,2,Volcano (Polis),20mm
MCER-175,Polis Etna Porcelain Paver 18x36,"Antique, R11",$3.25,$28.28,8.70,2,Volcano (Polis),20mm
MXCER-173,Polis Salina Porcelain Paver 18x36,R11,$3.25,$28.28,8.70,2,Volcano (Polis),20mm
MXCER-121,Volcano Beige Porcelain Tile 12x24,Matte,$4.20,$48.89,11.64,6,Volcano Series (Rondine),8.5mm
MXCER-120,Volcano Beige Porcelain Tile 24x48,Matte,$5.00,$77.40,15.48,2,Volcano Series (Rondine),8.5mm
MXCER-123-1,Volcano Dark Porcelain Tile 12x24,Matte,$4.20,$48.89,11.64,6,Volcano Series (Rondine),8.5mm
MXCER-122,Volcano Dark Porcelain Tile 24x48,Matte,$5.50,$85.14,15.48,2,Volcano Series (Rondine),8.5mm
MXCER-125,Volcano Grey Porcelain Tile 12x24,Matte,$4.20,$48.89,11.64,6,Volcano Series (Rondine),8.5mm
MXCER-124,Volcano Grey Porcelain Tile 24x48,Matte,$5.50,$85.14,15.48,2,Volcano Series (Rondine),8.5mm
