CODE,STOCK NAME,FINISH,PRICE PER SQ.FT,PRICE PER BOX/SLAB,SQ.FT PER BOX,PIECES PER BOX,COLLECTION,THICKNESS
MXRON-102,Lutezia Ivory Matte Porcelain Tile 12x24,Matte,$4.50,$60.98,13.55,7,Lutezia Series/Rondine,8.5mm
MXRON-106,Lutezia Ivory Matte Porcelain Tile 24X48,Matte,$5.50,$85.14,15.48,2,Lutezia Series/Rondine,8.5mm
MXRON-110,Lutezia Loira Ivory Porcelain Tile 24X48,Matte,$7.50,$116.10,15.48,2,Lutezia Series/Rondine,8.5mm
MXRON-128,Lutezia Mosaico Calatrava Ivory Porcelain Tile 12x12,Matte,$11.25,$67.73,6.02,6,Lutezia Series/Rondine,8.5mm
MXRON-118,Lutezia Mosaico Ivory Porcelain Tile 12x12,Matte,$10.50,$60.90,5.80,6,Lutezia Series/Rondine,8.5mm
MXRON-121,Lutezia Mosaico Star Ivory Porcelain Tile 16x13.8,Matte,$21.00,$126.42,6.02,4,Lutezia Series/Rondine,8.5mm
MXRON-108,Lutezia Loira Taupe Porcelain Tile 24X48,Matte,$7.50,$116.10,15.48,2,Lutezia Series/Rondine,8.5mm
MXRON-127,Lutezia Mosaico Calatrava Taupe Porcelain Tile 12x12,Matte,$11.25,$67.73,6.02,6,Lutezia Series/Rondine,8.5mm
MXRON-120,Lutezia Mosaico Star Taupe Porcelain Tile 16x13.8,Matte,$21.00,$126.42,6.02,4,Lutezia Series/Rondine,8.5mm
MXRON-116,Lutezia Mosaico Taupe Porcelain Tile 12x12,Matte,$10.50,$60.90,5.80,6,Lutezia Series/Rondine,8.5mm
MXRON-104-R,Lutezia Taupe Grip Porcelain Tile 24X48,R11,$5.75,$89.01,15.48,2,Lutezia Series/Rondine,8.5mm
MXRON-100,Lutezia Taupe Matte Porcelain Tile 12x24,Matte,$4.50,$60.98,13.55,7,Lutezia Series/Rondine,8.5mm
MXRON-104,Lutezia Taupe Matte Porcelain Tile 24X48,Matte,$5.50,$85.14,15.48,2,Lutezia Series/Rondine,8.5mm
MXCER-195,Manhattan Black Porcelain Tile 3x10,Matte,$2.00,$24.18,12.09,60,Manhattan Series/Cinca,"7mm (0.28"")"
MXCER-196,Manhattan Breeze Porcelain Tile 3x10,Matte,$2.00,$24.18,12.09,60,Manhattan Series/Cinca,"7mm (0.28"")"
MXCER-197,Manhattan Caramel Porcelain Tile 3x10,Matte,$2.00,$24.18,12.09,60,Manhattan Series/Cinca,"7mm (0.28"")"
MXCER-198,Manhattan Silver Porcelain Tile 3x10,Matte,$2.00,$24.18,12.09,60,Manhattan Series/Cinca,"7mm (0.28"")"
MXCER-199,Manhattan White Porcelain Tile 3x10,Matte,$2.00,$24.18,12.09,60,Manhattan Series/Cinca,"7mm (0.28"")"
MXCERSLB-102,Florim Brun -Look Silk Finish 63X126 Porcelain Slab | 12Mm,Silk,$16.50,,SLAB,1,Marble Slab Series / Florim,12mm
MXTAG-102,Marmi Imperiali Zenobia Porcelain Tile 12x12,Matte,$4.00,$23.24,5.81,6,Marmi Imperiali Series/Tagina,10mm
MXTAG-103,Marmi Imperiali Zenobia Porcelain Tile 24x24,Matte,$4.75,$55.15,11.61,3,Marmi Imperiali Series/Tagina,10mm
MXTAG-104,Marmi Imperiali Decoro Danum Porcelain Tile 24x24,Matte,$5.75,$66.76,11.61,3,Marmi Imperiali Series/Tagina,10mm
MXTAG-100,Marmi Imperiali Aurelia Porcelain Tile 12x12,Matte,$4.00,$23.24,5.81,6,Marmi Imperiali Series/Tagina,10mm
MXTAG-101,Marmi Imperiali Aurelia Porcelain Tile 24x24,Matte,$4.75,$55.15,11.61,3,Marmi Imperiali Series/Tagina,10mm
MXTAG-105,Marmi Imperiali Decoro Valentia Porcelain Tile 24x24,Matte,$5.75,$66.76,11.61,3,Marmi Imperiali Series/Tagina,10mm
MXPMS-102,Crystal White Matte Porcelain Tile 24x48,Matte,$4.20,$65.02,15.48,2,Marmoles Series/Pamesa,8.5mm
MXPMS-103,Crystal White Polished Porcelain Tile 24x48,Polished,$4.50,$69.66,15.48,2,Marmoles Series/Pamesa,8.5mm
MXPMS-101,Dolomite Bianco Polished Porcelain Tile 12x24,Polished,$4.50,$52.29,11.62,6,Marmoles Series/Pamesa,8.5mm
MXCER-201,Match Up Cookie Mix Comfort Porcelain Tile 24x24,Matte,$4.50,$52.29,11.62,3,Match Up Series/Florim,8.5mm
MXCER-202,Match Up Cookie Mix Porcelain Tile 24x48,Polished,$5.75,$133.52,23.22,3,Match Up Series/Florim,9mm
MXCER-308,Match Up Sugar Comfort Porcelain Tile 24x24,Matte,$4.50,$52.29,11.62,3,Match Up Series/Florim,8.5mm
MXCER-200,Match Up Sugar Mix Comfort Porcelain Tile 24x24,Matte,$4.50,$52.29,11.62,3,Match Up Series/Florim,8.5mm
MXCER-307,Match Up Sugar Mix Porcelain Tile 24x48,Polished,$5.75,$133.52,23.22,3,Match Up Series/Florim,9mm
MXCER-203-1,Match up Earl Grey Comfort Porcelain Tile 24x24,Matte,$4.50,$52.29,11.62,3,Match Up Series/Florim,8.5mm
MXCER-203,Match up Earl Grey Mix Comfort Porcelain Tile 24x24,Matte,$4.50,$52.29,11.62,3,Match Up Series/Florim,8.5mm
MXCER-204,Match up Earl Grey Mix Porcelain Tile 24x48,Polished,$5.75,$133.52,23.22,3,Match Up Series/Florim,9mm
MX9207,Heritage Anthracite Porcelain Tile 8x8,Matte,$2.00,$16.88,8.44,19,Mix & Match Series/Cinca,8.5mm
MX9268,Heritage Braga 9268 Porcelain Tile 8x8,Matte,$2.25,$18.99,8.44,19,Mix & Match Series/Cinca,8.5mm
MX9275,Heritage Braga 9275 Porcelain Tile 8x8,Matte,$2.25,$18.99,8.44,19,Mix & Match Series/Cinca,8.5mm
MX9276,Heritage Braga 9276 Porcelain Tile 8x8,Matte,$2.25,$18.99,8.44,19,Mix & Match Series/Cinca,8.5mm
MX9277,Heritage Braga 9277 Porcelain Tile 8x8,Matte,$2.25,$18.99,8.44,19,Mix & Match Series/Cinca,8.5mm
MX9209,Heritage Coimbra 9209 Porcelain Tile 8x8,Matte,$2.25,$18.99,8.44,19,Mix & Match Series/Cinca,8.5mm
MX9210,Heritage Coimbra 9210 Porcelain Tile 8x8,Matte,$2.25,$18.99,8.44,19,Mix & Match Series/Cinca,8.5mm
MX9214,Heritage Coimbra 9214 Porcelain Tile 8x8,Matte,$2.50,$21.10,8.44,19,Mix & Match Series/Cinca,8.5mm
MX9206,Heritage Grey Porcelain Tile 8x8,Matte,$2.00,$16.88,8.44,9,Mix & Match Series/Cinca,8.5mm
MX9215,Heritage Porto 9215 Porcelain Tile 8x8,Matte,$2.25,$18.99,8.44,19,Mix & Match Series/Cinca,8.5mm
MX9216,Heritage Porto 9216 Porcelain Tile 8x8,Matte,$2.25,$18.99,8.44,19,Mix & Match Series/Cinca,8.5mm
MX9221,Heritage Porto 9221 Porcelain Tile 8x8,Matte,$2.25,$18.99,8.44,19,Mix & Match Series/Cinca,8.5mm
MX9380,Heritage Cascais Pastel 9380 Porcelain Tile 8x8,Matte,$2.25,$18.99,8.44,19,Mix & Match Series/Cinca,8.5mm
MX9205,Heritage White Porcelain Tile 8x8,Matte,$2.00,$16.88,8.44,9,Mix & Match Series/Cinca,8.5mm
MXFAB-10,Noble Stone Beige Porcelain Tile 24X48,Matte,$5.25,$81.27,15.48,2,Noble Stone/La Fabbrica Ava,8.8mm
MXFAB-12,Noble Stone Grey Porcelain Tile 24X48,Matte,$5.25,$81.27,15.48,2,Noble Stone/La Fabbrica Ava,8.8mm
MXFAB-11,Noble Stone White Porcelain Tile 24X48,Matte,$5.25,$81.27,15.48,2,Noble Stone/La Fabbrica Ava,8.8mm
MXCER-26,Ontario Beige Porcelain Tile 10x48,Matte,$2.52,$31.45,12.48,4,Ontario Series/Rondine,10mm
MXCER-24,Ontario Brown Porcelain Tile 10x48,Matte,$2.52,$31.45,12.48,4,Ontario Series/Rondine,10mm
MXCER-27,Ontario Tobacco Porcelain Tile 10x48,Matte,$2.52,$31.45,12.48,4,Ontario Series/Rondine,10mm
MXCER-25,Ontario Silver Porcelain Tile 10x48,Matte,$2.52,,12.48,4,Ontario Series/Rondine,10mm
MX207201,Newker QStone Porcelain Tile 16x48,Matte,$2.75,,15.50,3,Qstone Series/Newker,8.5mm
MX207207,Newker QStone Strip Porcelain Tile 16x48,Matte,$2.75,,15.50,3,Qstone Series/Newker,8.5mm
MX207205,Newker QStone Work Porcelain Tile 16x48,Matte,$2.75,,15.50,3,Qstone Series/Newker,8.5mm
MXCER-29,Rivamancina Terra Porcelain Tile 8x48,Matte,$2.50,,10.32,4,Rivamancina Series/Tagina,10mm
MXCER-28,Rivamancina Cenere Porcelain Tile 8x48,Matte,$2.50,,10.32,4,Rivamancina Series/Tagina,10mm
MX209201,Newker Garden Porcelain Tile 12x36,Semi Polished,$2.50,$28.53,11.41,4,Shine Series/Newker,8.5mm
MXCER-53,Soft Sugar Porcelain Tile Matte 6x48,Matte,$4.00,$46.48,11.62,6,Soft Series / Richetti,8.5mm
MXCER-52,Soft Sugar Porcelain Tile Matte 8x48,Polished,$4.00,$51.68,12.92,6,Soft Series / Richetti,8.5mm
MXCER-55,Soft Cendre Porcelain Tile Matte 6x48,Matte,$4.00,$46.48,11.62,6,Soft Series / Richetti,8.5mm
MXCER-54,Soft Cendre Porcelain Tile Matte 8x48,Matte,$4.00,$51.68,12.92,6,Soft Series / Richetti,8.5mm
