vendor,product_name,collection,variant_name,product_color,conflicting_url_color,asset_type,url
Arizona Tile,Red,Castle Brick,2-1/2x10,red,black,alternate,https://arizonatile.widen.net/content/kybym3ac9s/jpeg/Castle-Brick-Brown_Pietra-Italia-Black_Wave-Iron-Quartz.jpeg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Red,Castle Brick,2-1/2x10,red,brown,alternate,https://arizonatile.widen.net/content/kybym3ac9s/jpeg/Castle-Brick-Brown_Pietra-Italia-Black_Wave-Iron-Quartz.jpeg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Red,Castle Brick,2-1/2x10,red,grey,alternate,https://arizonatile.widen.net/content/kbiu11n3cp/jpeg/Castle-Brick-Grey-Herringbone.jpeg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Combhex Carrara Blue Black,Combhex,"12x10-1/4, Polished",blue,grey,alternate,https://arizonatile.widen.net/content/abeit8esuz/webp/Combhex-Thassos_Grey_Black.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Combhex Thassos Grey Black,Combhex,"12x10-1/4, Polished",grey,blue,alternate,https://arizonatile.widen.net/content/ygjfchf7ho/jpeg/Combhex-Carrara_Blue_Black.jpeg?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Black,Cosmic,12x24,black,grey,alternate,https://arizonatile.widen.net/content/vlasxkz6t0/jpeg/cosmic_grey_part.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Black,Cosmic,2x2 Mosaic,black,grey,alternate,https://arizonatile.widen.net/content/vlasxkz6t0/jpeg/cosmic_grey_part.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Cosmic,12x24,ivory,grey,alternate,https://arizonatile.widen.net/content/vlasxkz6t0/jpeg/cosmic_grey_part.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Cosmic,2x2 Mosaic,ivory,grey,alternate,https://arizonatile.widen.net/content/vlasxkz6t0/jpeg/cosmic_grey_part.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,White,Cosmic,12x24,white,grey,alternate,https://arizonatile.widen.net/content/vlasxkz6t0/jpeg/cosmic_grey_part.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Elemental Hex Blue,Elemental Hex,"11-3/4x10, Polished",blue,grey,alternate,https://arizonatile.widen.net/content/jnb5z9jsws/webp/Elemental-Hex-Grey.webp?w=765&h=765&position=c&quality=80&x.app=portals
