Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
APL-13-CH,"Carved Wood",,"3-5/8"" x 3/4"" x 4-1/4"" Applique Species: Cherry",843512010446,0.00000,100.00000,$37.64,$37.64,$62.73
APL-13-MP,"Carved Wood",,"3-5/8"" x 3/4"" x 4-1/4"" Applique Species: Maple",843512010453,0.00000,100.00000,$33.89,$33.89,$56.48
APL-14-5-ALD,"Carved Wood",,"4-5/8"" x 1/2"" x 5"" Fleur de Lis Applique, Species: Alder",843512049279,0.00000,100.00000,$19.84,$19.84,$33.06
APL-14-5-CH,"Carved Wood",,"4-5/8"" x 1/2"" x 5"" Fleur de Lis Applique, Species: Cherry",843512049286,0.00000,100.00000,$24.91,$24.91,$41.52
APL-14-5-HMP,"Carved Wood",,"4-5/8"" x 1/2"" x 5"" Fleur de Lis Applique, Species: Hard Maple",843512049293,0.00000,100.00000,$21.17,$21.17,$35.28
APL-14-5-RW,"Carved Wood",,"4-5/8"" x 1/2"" x 5"" Fleur de Lis Applique, Species: Rubberwood",843512049309,0.00000,100.00000,$17.35,$17.35,$28.91
APL-14-ALD,"Carved Wood",,"3-3/4"" x 1/2"" x 4-1/8"" Fleur-De-Lis Applique.Species: Alder",843512023897,0.00000,100.00000,$16.18,$16.18,$26.97
APL-14-CH,"Carved Wood",,"3-3/4"" x 1/2"" x 4-1/8"" Fleur-De-Lis Applique.Species: Cherry",843512023903,0.00000,100.00000,$21.01,$21.01,$35.02
APL-14-MP,"Carved Wood",,"3-3/4"" x 1/2"" x 4-1/8"" Fleur-De-Lis Applique.Species: Maple",843512023910,0.00000,100.00000,$17.97,$17.97,$29.95
BF14-1-ALD,"Carved Wood",,"4"" Round x 5"" Tall Bun Foot with Bullnose Design and Cove Groove",843512049316,0.00000,27.00000,$27.09,$27.09,$45.15
BF14-1-HMP,"Carved Wood",,"4"" Round x 5"" Tall Bun Foot with Bullnose Design and Cove Groove",843512049323,0.00000,27.00000,$30.50,$30.50,$50.83
BF14-1-RW,"Carved Wood",,"4"" Round x 5"" Tall Bun Foot with Bullnose Design and Cove Groove",843512049330,0.00000,27.00000,$18.03,$18.03,$30.05
BF14-2-ALD,"Carved Wood",,"4"" Square x 4"" Tall Tapered Bun Foot with ""V"" Groove",843512049347,0.00000,27.00000,$22.94,$22.94,$38.24
BF14-2-HMP,"Carved Wood",,"4"" Square x 4"" Tall Tapered Bun Foot with ""V"" Groove",843512049354,0.00000,27.00000,$29.02,$29.02,$48.37
BF14-2-RW,"Carved Wood",,"4"" Square x 4"" Tall Tapered Bun Foot with ""V"" Groove",843512049361,0.00000,27.00000,$17.35,$17.35,$28.91
BF14-3-ALD,"Carved Wood",,"4"" Round x 4"" Tall Tapered Bun Foot with ""V"" Groove",843512049378,0.00000,27.00000,$21.14,$21.14,$35.23
BF14-3-HMP,"Carved Wood",,"4"" Round x 4"" Tall Tapered Bun Foot with ""V"" Groove",843512049385,0.00000,27.00000,$27.18,$27.18,$45.30
BF14-3-RW,"Carved Wood",,"4"" Round x 4"" Tall Tapered Bun Foot with ""V"" Groove",843512049392,0.00000,27.00000,$15.51,$15.51,$25.85
BF14-4-ALD,"Carved Wood",,"4"" Round x 5"" Tall Bun Foot with Flat Ogee Design",843512049408,0.00000,27.00000,$27.09,$27.09,$45.15
BF14-4-HMP,"Carved Wood",,"4"" Round x 5"" Tall Bun Foot with Flat Ogee Design",843512049415,0.00000,27.00000,$30.50,$30.50,$50.83
BF14-4-RW,"Carved Wood",,"4"" Round x 5"" Tall Bun Foot with Flat Ogee Design",843512049422,0.00000,27.00000,$18.03,$18.03,$30.05
BF14-5-ALD,"Carved Wood",,"4"" Round x 4"" Tall Bun Foot with Bullnose Design and Tapered Foot",843512049439,0.00000,27.00000,$21.14,$21.14,$35.23
BF14-5-HMP,"Carved Wood",,"4"" Round x 4"" Tall Bun Foot with Bullnose Design and Tapered Foot",843512049446,0.00000,27.00000,$27.18,$27.18,$45.30
BF14-5-RW,"Carved Wood",,"4"" Round x 4"" Tall Bun Foot with Bullnose Design and Tapered Foot",843512049453,0.00000,27.00000,$15.51,$15.51,$25.85
BF15-1-6-ALD,"Carved Wood",,"3"" Round x 6"" Bullnose with Taper Bun Foot, Species:  Alder",843512059841,0.00000,27.00000,$17.94,$17.94,$29.89
BF15-1-6-CH,"Carved Wood",,"3"" Round x 6"" Bullnose with Taper Bun Foot, Species:  Cherry",843512059858,0.00000,27.00000,$22.96,$22.96,$38.27
BF15-1-6-HMP,"Carved Wood",,"3"" Round x 6"" Bullnose with Taper Bun Foot, Species:  Hard Maple",843512059865,0.00000,27.00000,$20.50,$20.50,$34.16
BF15-1-6-RW,"Carved Wood",,"3"" Round x 6"" Bullnose with Taper Bun Foot, Species:  Rubberwood",843512059872,0.00000,27.00000,$12.88,$12.88,$21.47
BF15-1-6-WB,"Carved Wood",,"3"" Round x 6"" Bullnose with Taper Bun Foot, Species:  White Birch",843512059889,0.00000,27.00000,$14.20,$14.20,$23.67
BF15-1-8-ALD,"Carved Wood",,"3"" Round x 8"" Bullnose with Taper Bun Foot, Species:  Alder",843512059896,0.00000,27.00000,$20.98,$20.98,$34.97
BF15-1-8-CH,"Carved Wood",,"*NRB* 3"" Round x 8"" Bullnose with Taper Bun Foot, Species:  Cherry",843512059902,0.00000,27.00000,$26.34,$26.34,$43.89
BF15-1-8-HMP,"Carved Wood",,"3"" Round x 8"" Bullnose with Taper Bun Foot, Species:  Hard Maple",843512059919,0.00000,27.00000,$24.01,$24.01,$40.02
BF15-1-8-RW,"Carved Wood",,"3"" Round x 8"" Bullnose with Taper Bun Foot, Species:  Rubberwood",843512059926,0.00000,27.00000,$15.05,$15.05,$25.08
BF15-1-8-WB,"Carved Wood",,"3"" Round x 8"" Bullnose with Taper Bun Foot, Species:  White Birch",843512059933,0.00000,27.00000,$16.54,$16.54,$27.57
BF15-2-6-ALD,"Carved Wood",,"3"" Square x 6"" Bullnose with Taper Bun Foot, Species:  Alder",843512059940,0.00000,27.00000,$17.94,$17.94,$29.89
BF15-2-6-CH,"Carved Wood",,"3"" Square x 6"" Bullnose with Taper Bun Foot, Species:  Cherry",843512059957,0.00000,27.00000,$22.96,$22.96,$38.27
BF15-2-6-HMP,"Carved Wood",,"3"" Square x 6"" Bullnose with Taper Bun Foot, Species:  Hard Maple",843512059964,0.00000,27.00000,$20.50,$20.50,$34.16
BF15-2-6-RW,"Carved Wood",,"3"" Square x 6"" Bullnose with Taper Bun Foot, Species:  Rubberwood",843512059971,0.00000,27.00000,$12.88,$12.88,$21.47
BF15-2-6-WB,"Carved Wood",,"3"" Square x 6"" Bullnose with Taper Bun Foot, Species:  White Birch",843512059988,0.00000,27.00000,$14.20,$14.20,$23.67
BF15-2-8-ALD,"Carved Wood",,"3"" Square x 8"" Bullnose with Taper Bun Foot, Species:  Alder",843512059995,0.00000,27.00000,$20.98,$20.98,$34.97
BF15-2-8-CH,"Carved Wood",,"*NRB* 3"" Square x 8"" Bullnose with Taper Bun Foot, Species:  Cherry",843512060007,0.00000,27.00000,$26.34,$26.34,$43.89
