Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
H8810,Sinks,,"*NRB* Undermount Porcelain Sink Basin. 17"" x 14"". Each sink comes with a mounting kit. Fits with VAN037, VAN038, VAN042. Color: Parchment 17"" x 14"" inside dimension.",843512008757,0.00000,1.00000,$49.06,$49.06,$81.77
H8810WH,Sinks,,"Undermount Porcelain Sink Basin. 17"" x 14"". Each sink comes with a mounting kit. Fits with VAN037, VAN038, VAN042. Color: White 17"" x 14"" inside dimension",843512024573,0.00000,1.00000,$52.52,$52.52,$87.53
H8909WH,Sinks,,"Undermount Porcelain Rectangle Sink Basin. 16"" x 9-7/8"" . Each sink comes with a mounting kit.",843512040023,0.00000,1.00000,$61.85,$61.85,$103.09
H8910WH,Sinks,,"Undermount Porcelain Rectangle Sink Basin. 18-1/2"" x 11-1/8"". Each sink comes with a mounting kit.",843512040030,0.00000,1.00000,$61.85,$61.85,$103.09
HA200,Sinks,,"Stainless Steel 16-Gauge Farmhouse/Apron Style Kitchen Sink. Handmade with 304 SS with Satin Finish. Overall Measurements: 35-7/8"" x 20-3/4"" x 10"". Bowl Measurements: 33"" x 16"" x 9"". Drain Opening: 3-1/2"". Insulated Bottom. Mounting Hardware Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified Please note that this item must be shipped via common carrier.",843512073656,0.00000,1.00000,$665.58,$665.58,"$1,109.30"
HA200-GRID,Sinks,,"Stainless Steel Grid for HA200 Sink",843512073663,0.00000,4.00000,$67.23,$67.23,$112.04
HA225,Sinks,,"Stainless Steel 16-Gauge Farmhouse/Apron Kitchen Sink Unequal Bowls. Handmade with 304 SS with Satin Finish. Overall Measurements: 35-7/8"" x 20-3/4"" x 10"". Large Bowl Measurements (Left): 19"" x 16"" x 10"". Small Bowl Measurements (Right): 13"" x 16"" x 10"". Drain Opening: 3-1/2"". Insulated Bottom. Mounting Hardware Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified Please note that this item must be shipped via common carrier.",843512061066,0.00000,1.00000,$767.43,$767.43,"$1,279.04"
HA225-GRID,Sinks,,"Stainless Steel Grid for HA225 Sink (2qty)",843512061134,0.00000,6.00000,$79.50,$79.50,$132.51
HMS175,Sinks,,"Stainless Steel 16-Gauge Kitchen Sink. Handmade from 304 SS with Satin Finish. Overall Measurements: 23"" x 18"" x 10"". Bowl Measurements: 21"" x 16"" x 10"". Drain Opening: 3-1/2"". Insulated Bottom. Mounting Hardware Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified Please note that this item must be shipped via common carrier.",843512061011,0.00000,1.00000,$374.33,$374.33,$623.89
HMS175-GRID,Sinks,,"Stainless Steel Grid for HMS175 Sink",843512061080,0.00000,8.00000,$49.13,$49.13,$81.89
HMS190,Sinks,,"Stainless Steel 16-Gauge Kitchen Sink. Handmade with 304 SS with Satin Finish. Overall Measurements: 30"" x 18"" x 10"". Bowl Measurements: 28"" x 16"" x 10"". Drain Opening: 3-1/2"". Insulated Bottom. Mounting Hardware Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified Please note that this item must be shipped via common carrier.",843512061028,0.00000,1.00000,$393.10,$393.10,$655.17
HMS190-GRID,Sinks,,"Stainless Steel Grid for HMS190 Sink",843512061097,0.00000,4.00000,$58.96,$58.96,$98.27
HMS200,Sinks,,"Stainless Steel 16-Gauge Kitchen Sink. Made with 304 SS with Satin Finish. Overall Measurements: 32"" x 19"" x 10"". Bowl Measurements: 30"" x 17"" x 10"". Drain Opening: 3-1/2"". Insulated Bottom. Mounting Hardware Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified Please note that this item must be shipped via common carrier.",843512061035,0.00000,1.00000,$428.83,$428.83,$714.72
HMS200-GRID,Sinks,,"Stainless Steel Grid for HMS200 Sink",843512061103,0.00000,4.00000,$61.86,$61.86,$103.10
HMS250,Sinks,,"Stainless Steel 16-Gauge Kitchen Sink with Two Equal Bowls. Handmade from 304 SS with Satin Finish. Overall Measurements: 32"" x 19"" x 10"". Bowl Measurements: 14-1/2"" x 17"" x 10"". Drain Opening: 3-1/2"". Insulated Bottom. Mounting Hardware Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified Please note that this item must be shipped via common carrier.",843512061042,0.00000,1.00000,$595.89,$595.89,$993.14
HMS250-GRID,Sinks,,"Stainless Steel Grid for HMS250 Sink (2qty)",843512061110,0.00000,6.00000,$74.16,$74.16,$123.60
HMS260-GRID,Sinks,,"Stainless Steel Grid for HMS260 Sink (2qty)",843512061127,0.00000,6.00000,$74.16,$74.16,$123.60
HMS260L,Sinks,,"Stainless Steel 16-Gauge Kitchen Sink with Two Unequal Bowls. Handmade from 304 SS with Satin Finish. Overall Measurements: 32"" x 19"" x 10"". Large Bowl Measurements (Left): 17"" x 17"" x 10"". Small Bowl Measurements (Right): 12"" x 17"" x 10"". Drain Opening: 3-1/2"". Insulated Bottom. Mounting Hardware Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified Please note that this item must be shipped via common carrier.",843512061059,0.00000,1.00000,$595.89,$595.89,$993.14
STRAINER-200,Sinks,,"Stainless Steel Sink Strainer",843512061073,0.00000,20.00000,$17.88,$17.88,$29.80
