Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
APT48-5B-P-BK,"Light & Power",,"48"" APT, BK single receptacles & finish",840002525602,1.00000,6.00000,$251.18,$251.18,$335.79
APT48-5B-P-BZ,"Light & Power",,"48"" APT, BZ finish, BK single receptacles",840002525619,1.00000,6.00000,$251.18,$251.18,$335.79
APT48-5G-P-SN,"Light & Power",,"48"" APT, SN finish, GRY single receptacles",840002525626,1.00000,6.00000,$251.18,$251.18,$335.79
APT48-5W-P-WT,"Light & Power",,"48"" APT, WT finish, WT single receptacles",840002525640,1.00000,6.00000,$251.18,$251.18,$335.79
APT60-7B-P-BK,"Light & Power",,"60"" APT, BK single receptacles & finish",840002525688,1.00000,6.00000,$309.88,$309.88,$414.28
APT60-7B-P-BZ,"Light & Power",,"60"" APT, BZ finish, BK single receptacles",840002525695,1.00000,6.00000,$309.88,$309.88,$414.28
APT60-7G-P-SN,"Light & Power",,"60"" APT, SN finish, GRY single receptacles",840002525701,1.00000,6.00000,$309.88,$309.88,$414.28
APT60-7W-P-WT,"Light & Power",,"60"" APT, WT finish, WT single receptacles",840002525725,1.00000,6.00000,$309.88,$309.88,$414.28
APT72-8B-P-BK,"Light & Power",,"72"" APT, BK single receptacles & finish",840002525763,1.00000,6.00000,$344.92,$344.92,$461.12
APT72-8B-P-BZ,"Light & Power",,"72"" APT, BZ finish, BK single receptacles",840002525770,1.00000,6.00000,$344.92,$344.92,$461.12
APT72-8G-P-SN,"Light & Power",,"72"" APT, SN finish, GRY single receptacles",840002525787,1.00000,6.00000,$344.92,$344.92,$461.12
APT72-8W-P-WT,"Light & Power",,"72"" APT, WT finish, WT single receptacles",840002525800,1.00000,6.00000,$344.92,$344.92,$461.12
APT9-2B-P-BK-L,"Light & Power",,"9"" APT, BK finish, BK single receptacles, LFT wire entry",840002525862,1.00000,6.00000,$141.95,$141.95,$189.79
APT9-2B-P-BK-R,"Light & Power",,"9"" APT, BK finish, BK single receptacles, RT wire entry",840002525879,1.00000,6.00000,$141.95,$141.95,$189.79
APT9-2B-P-BZ-L,"Light & Power",,"9"" APT, BZ finish, BK single receptacles, LFT wire entry",840002525886,1.00000,6.00000,$141.95,$141.95,$189.79
