Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
K294MB-4,"Decorative Hardware",,"4-pack of 40 mm overall length steel bar Cabinet Knobs with Beveled Ends.  7/16"" Diameter.  Packaged with (4) 8/32"" x 1"" and (4) 1-3/4"" breakaway screws and  break-away screws. Matte Black Finish.",840002556279,4.00000,24.00000,$10.50,$10.50,$23.33
K294SBZ-10,"Decorative Hardware",,"10-pack of 40 mm overall length steel bar Cabinet Knobs with Beveled Ends.  7/16"" Diameter.  Packaged with (10) 8/32"" x 1"" and (10) 1-3/4"" breakaway screws and  break-away screws. Satin Bronze Finish.",196734012232,4.00000,24.00000,$22.97,$22.97,$51.04
K294SBZ-4,"Decorative Hardware",,"4-pack of 40 mm overall length steel bar Cabinet Knobs with Beveled Ends.  7/16"" Diameter.  Packaged with (4) 8/32"" x 1"" and (4) 1-3/4"" breakaway screws and  break-away screws. Satin Bronze Finish.",840002556286,4.00000,24.00000,$10.50,$10.50,$23.33
K294SN-10,"Decorative Hardware",,"10-pack of 40 mm overall length steel bar Cabinet Knobs with Beveled Ends.  7/16"" Diameter.  Packaged with (10) 8/32"" x 1"" and (10) 1-3/4"" breakaway screws and  break-away screws. Satin Nickel Finish.",840002556422,4.00000,24.00000,$19.93,$19.93,$44.29
K294SN-4,"Decorative Hardware",,"4-pack of 40 mm overall length steel bar Cabinet Knobs with Beveled Ends.  7/16"" Diameter.  Packaged with (4) 8/32"" x 1"" and (4) 1-3/4"" breakaway screws and  break-away screws. Satin Nickel Finish.",840002556415,4.00000,24.00000,$9.79,$9.79,$21.76
K3133BORB-2,"Decorative Hardware",,"2-pack of 4"" Overall Length Cabinet Pulls.  Holes are 3"" center-to-center.  Packaged with (4) 8-32 x 1"" and (4) 1-3/4"" breakaway screws.  Oil Rubbed Bronze Finish.",843512070143,4.00000,24.00000,$7.27,$7.27,$16.16
K3133BORB-8,"Decorative Hardware",,"8-pack of 4"" Overall Length Cabinet Pulls.  Holes are 3"" center-to-center.  Packaged with (16) 8-32 x 1"" and (16) 1-3/4"" breakaway screws.  Oil Rubbed Bronze Finish.",843512066122,4.00000,24.00000,$24.20,$24.20,$53.78
K3133MB-2,"Decorative Hardware",,"2-pack of 4"" Overall Length Cabinet Pulls.  Holes are 3"" center-to-center.  Packaged with (4) 8-32 x 1"" and (4) 1-3/4"" breakaway screws.  Matt Black Finish.",196734012409,4.00000,24.00000,$8.01,$8.01,$17.80
K3133MB-8,"Decorative Hardware",,"8-pack of 4"" Overall Length Cabinet Pulls.  Holes are 3"" center-to-center.  Packaged with (16) 8-32 x 1"" and (16) 1-3/4"" breakaway screws.  Matt Black Finish.",196734012331,4.00000,24.00000,$26.61,$26.61,$59.13
K3133SN-2,"Decorative Hardware",,"2-pack of 4"" Overall Length Cabinet Pulls.  Holes are 3"" center-to-center.  Packaged with (4) 8-32 x 1"" and (4) 1-3/4"" breakaway screws.  Satin Nickel Finish.",843512070136,4.00000,24.00000,$7.27,$7.27,$16.16
K3133SN-8,"Decorative Hardware",,"8-pack of 4"" Overall Length Cabinet Pulls.  Holes are 3"" center-to-center.  Packaged with (16) 8-32 x 1"" and (16) 1-3/4"" breakaway screws.  Satin Nickel Finish.",843512066139,4.00000,24.00000,$24.20,$24.20,$53.78
K313BORB-10,"Decorative Hardware",,"10-pack of 1"" Diameter Cabinet Knobs.  Packaged with (10) 8-32 x 1"" and (10) 1-3/4"" breakaway screws.  Oil Rubbed Bronze Finish.",843512065804,4.00000,24.00000,$19.23,$19.23,$42.73
K313BORB-4,"Decorative Hardware",,"4-pack of 1"" Diameter Cabinet Knobs.  Packaged with (4) 8-32 x 1"" and (4) 1-3/4"" breakaway screws.  Oil Rubbed Bronze Finish.",843512070150,4.00000,24.00000,$10.29,$10.29,$22.87
K313MB-10,"Decorative Hardware",,"10-pack of 1"" Diameter Cabinet Knobs.  Packaged with (10) 8-32 x 1"" and (10) 1-3/4"" breakaway screws.  Matt Black Finish.",196734012256,4.00000,24.00000,$21.16,$21.16,$47.02
K313MB-4,"Decorative Hardware",,"4-pack of 1"" Diameter Cabinet Knobs.  Packaged with (4) 8-32 x 1"" and (4) 1-3/4"" breakaway screws.  Matt Black Finish.",196734012287,4.00000,24.00000,$11.30,$11.30,$25.11
K313SN-10,"Decorative Hardware",,"10-pack of 1"" Diameter Cabinet Knobs.  Packaged with (10) 8-32 x 1"" and (10) 1-3/4"" breakaway screws.  Satin Nickel Finish.",843512065811,4.00000,24.00000,$19.23,$19.23,$42.73
K313SN-4,"Decorative Hardware",,"4-pack of 1"" Diameter Cabinet Knobs.  Packaged with (4) 8-32 x 1"" and (4) 1-3/4"" breakaway screws.  Satin Nickel Finish.",843512070167,4.00000,24.00000,$10.29,$10.29,$22.87
K3583BORB-2,"Decorative Hardware",,"2-pack of 3-5/8"" Overall Length Cabinet Pulls.  Holes are 3"" center-to-center.  Packaged with (4) 8-32 x 1"" and (4) 1-3/4"" breakaway screws.  Oil Rubbed Bronze Finish.",843512070181,4.00000,24.00000,$7.65,$7.65,$17.00
K3583BORB-8,"Decorative Hardware",,"8-pack of 3-5/8"" Overall Length Cabinet Pulls.  Holes are 3"" center-to-center.  Packaged with (16) 8-32 x 1"" and (16) 1-3/4"" breakaway screws.  Oil Rubbed Bronze Finish.",843512066146,4.00000,24.00000,$25.21,$25.21,$56.02
K3583SN-2,"Decorative Hardware",,"2-pack of 3-5/8"" Overall Length Cabinet Pulls.  Holes are 3"" center-to-center.  Packaged with (4) 8-32 x 1"" and (4) 1-3/4"" breakaway screws.  Satin Nickel Finish.",843512070174,4.00000,24.00000,$7.65,$7.65,$17.00
K3583SN-8,"Decorative Hardware",,"8-pack of 3-5/8"" Overall Length Cabinet Pulls.  Holes are 3"" center-to-center.  Packaged with (16) 8-32 x 1"" and (16) 1-3/4"" breakaway screws.  Satin Nickel Finish.",843512066153,4.00000,24.00000,$25.21,$25.21,$56.02
K3833BORB-2,"Decorative Hardware",,"2-pack of 3-11/16"" Overall Length Cup Pulls.  Holes are 3"" center-to-center.  Packaged with (4) 8/32"" x 1"" and (4) 1-3/4"" breakaway screws.  Oil Rubbed Bronze Finish.",843512070211,4.00000,24.00000,$7.27,$7.27,$16.16
