Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
BM1HMP,Moulding,,"7/8"" x 5/8"" Beauty Moulding, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 40 LF (5 sticks).",840002536059,40.00000,320.00000,$2.92,$2.54,$4.23
BM1OK,Moulding,,"7/8"" x 5/8"" Beauty Moulding, Species: Oak. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 40 LF (5 sticks).",840002536066,40.00000,320.00000,$2.52,$2.19,$3.65
BM1POP,Moulding,,"7/8"" x 5/8"" Beauty Moulding, Species: Poplar. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 40 LF (5 sticks).",840002536073,40.00000,320.00000,$2.06,$1.79,$2.98
BM2ALD,Moulding,,"15/16"" x 5/16"" Beauty Moulding, Species: Alder. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 64 LF (8 sticks).",840002536080,0.00000,64.00000,$3.38,$2.94,$4.90
BM2CH,Moulding,,"*NRB* 15/16"" x 5/16"" Beauty Moulding, Species: Cherry. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 64 LF (8 sticks).",840002536097,0.00000,64.00000,$2.97,$2.58,$4.29
BM2HMP,Moulding,,"15/16"" x 5/16"" Beauty Moulding, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 64 LF (8 sticks).",840002536103,64.00000,640.00000,$2.22,$1.93,$3.22
BM2OK,Moulding,,"15/16"" x 5/16"" Beauty Moulding, Species: Red Oak. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 64 LF (8 sticks).",840002536127,64.00000,640.00000,$1.73,$1.50,$2.49
BM2POP,Moulding,,"15/16"" x 5/16"" Beauty Moulding, Species: Poplar. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 64 LF (8 sticks).",840002536110,64.00000,640.00000,$1.50,$1.30,$2.16
BM3ALD,Moulding,,"1"" x 1/4"" Beauty Moulding, Species: Alder. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 64 LF (8 sticks).",840002536134,64.00000,640.00000,$2.97,$2.58,$4.29
BM3CH,Moulding,,"*NRB* 1"" x 1/4"" Beauty Moulding, Species: Cherry. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 64 LF (8 sticks).",840002536141,0.00000,64.00000,$2.70,$2.35,$3.91
