Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
1516CH,Organizers,,"Shelf & Rod Support Bracket.1"" Wide Steel Design Supports Up to 150 lbs per Bracket.Designed for Use with Hardware Resources 1-5/16"" Diameter Round Closet Rods.Screws Included, Chrome",843512044809,2.00000,20.00000,$11.84,$11.84,$26.31
1516MB,Organizers,,"Shelf & Rod Support Bracket for 1-5/16"" Closet Rod, Matte Black",196734031769,2.00000,20.00000,$11.84,$11.84,$26.31
1516ORB,Organizers,,"Shelf & Rod Support Bracket.1"" Wide Steel Design Supports Up to 150 lbs per Bracket.Designed for Use with Hardware Resources 1-5/16"" Diameter Round Closet Rods.Screws Included.Finish: Oil Rubbed Bronze",843512044793,2.00000,20.00000,$8.16,$8.16,$23.31
1516SN,Organizers,,"Shelf & Rod Support Bracket.1"" Wide Steel Design Supports Up to 150 lbs per Bracket.Designed for Use with Hardware Resources 1-5/16"" Diameter Round Closet Rods.Screws Included, Satin Nickel",843512044816,2.00000,20.00000,$11.80,$11.80,$26.22
1516WH,Organizers,,"Shelf & Rod Support Bracket.1"" Wide Steel Design Supports Up to 150 lbs per Bracket.Designed for Use with Hardware Resources 1-5/16"" Diameter Round Closet Rods.Screws Included.Finish: White Powder Coat",843512044823,2.00000,20.00000,$11.85,$11.85,$26.34
1521,Organizers,,"21"" Expanding to 24"" Wardrobe Lift Chrome Tubing with Black Plastic Housing.45 lb Weight Rating",843512070815,1.00000,6.00000,$79.33,$79.33,$176.29
1523,Organizers,,"25-1/2"" Expanding to 35"" Wardrobe Lifter Chrome Tubing with Black Plastic.45 lb Weight Rating",843512070822,1.00000,6.00000,$79.33,$79.33,$176.29
1523-BLK,Organizers,,"25-1/2"" Expanding to 35"" Wardrobe Lift Black Powder Coated Tubing with Black Plastic.45 lb Weight Load Rating",843512070839,1.00000,6.00000,$79.38,$79.38,$176.40
1523SC-BLK,Organizers,,"Soft-close Wardrobe Lift 25-1/2"" Expanding to 35"".Black Powder Coat Steel Tubing with Black Plastic Housing.Twist and Lock Adjustable Pole with Ergonomic Handle.Mounting Brackets Allow for Easy Install and Clean Finished Look.45 lb Weight Capacity",843512070846,1.00000,4.00000,$97.76,$97.76,$217.23
1523SC-PC,Organizers,,"Soft-close Wardrobe Lift 25-1/2"" Expanding to 35"".Polished Chrome Steel Tubing with Silver Plastic Housing.Twist and Lock Adjustable Pole with Ergonomic Handle.Mounting Brackets Allow for Easy Install and Clean Finished Look.45 lb Weight Capacity",843512070853,1.00000,4.00000,$97.74,$97.74,$217.18
153012CH-2,Organizers,,"1.0 mm Oval Closet Tubing. 15 mm x 30 mm x 12 ft",843512070860,0.00000,10.00000,$19.58,$19.58,$43.51
153012CH-80,Organizers,,"8 Boxes of 10 Chrome  1.0 mm x 12' Long Oval Steel Closet Rods-80 Rods Total.  MUST SHIP LTL",196734033909,0.00000,1.00000,"$1,566.39","$1,566.39","$3,480.86"
153012MB,Organizers,,"Matte Black 1.0 mm x 12' Long Oval Steel Closet Rod",196734034043,0.00000,10.00000,$17.42,$17.42,$38.71
153012MB-80,Organizers,,"8 Boxes of 10 Matte Black 1.0 mm x 12' Long Oval Steel Closet Rods",196734035262,1.00000,1.00000,"$1,393.32","$1,393.32","$3,096.26"
153012MB-A,Organizers,,"Matte Black 1.0 mm x 12' Long Oval Aluminum Closet Rod",196734034050,0.00000,10.00000,$28.88,$28.88,$64.17
153012MB-A-80,Organizers,,"Matte Black 1.0 mm x 12' Long Oval Aluminum Closet Rod",196734054515,1.00000,1.00000,"$1,797.08","$1,797.08","$5,134.36"
153012ORB-2,Organizers,,"1.0 mm Oval Closet Tubing. 15 mm x 30 mm x 12 ft",843512070877,0.00000,10.00000,$24.46,$24.46,$54.35
15302CH-10,Organizers,,"Box of 10 1.0 mm Oval Closet Tubing. 15 mm x 30 mm x 2.5 Meter. Chrome Finish",196734033923,1.00000,1.00000,$114.80,$114.80,$264.17
15302CH-2,Organizers,,"1.0 mm Oval Closet Tubing. 15 mm x 30 mm x 2.5 Meter. Chrome Finish",843512070884,0.00000,10.00000,$11.48,$11.48,$25.51
15302CH-40,Organizers,,"4 Boxes of 10 Chrome  1.0 mm x 8' Long Oval Steel Closet Rods.",196734033930,0.00000,1.00000,$459.23,$459.23,"$1,020.51"
15302MB,Organizers,,"Matte Black  1.0mm x 8' Long Oval Steel Closet Rod",196734034067,0.00000,10.00000,$12.95,$12.95,$28.78
15302MB-10,Organizers,,"Box of 10 Matte Black 1.0 mm x 8' Long Oval Steel Closet Rods",196734035279,1.00000,1.00000,$129.54,$129.54,$287.86
15302MB-40,Organizers,,"4 Boxes of 10 Matte Black 1.0 mm x 8' Long Oval Steel Closet Rods",196734035286,0.00000,1.00000,$518.13,$518.13,"$1,151.40"
15302ORB-10,Organizers,,"Box of 10 1.0 mm Oval Closet Tubing. 15 mm x 30 mm x 2.5 Meter. Dark Bronze Finish",196734033947,1.00000,1.00000,$164.35,$164.35,$365.22
15302ORB-2,Organizers,,"1.0 mm Oval Closet Tubing. 15 mm x 30 mm x 2.5 Meter. Dark Bronze Finish",843512070891,0.00000,10.00000,$16.43,$16.43,$36.52
15302ORB-40,Organizers,,"4 Boxes of 10 Dark Bronze 1.0 mm x 8' Long Oval Aluminum Closet Rods.",196734033954,0.00000,1.00000,$499.43,$499.43,"$1,426.98"
15302SN-10,Organizers,,"Box of 10 1.0 mm Oval Closet Tubing. 15 mm x 30 mm x 2.5 Meter. Satin Nickel Finish",196734033961,1.00000,1.00000,$185.80,$185.80,$412.88
15302SN-2,Organizers,,"1.0 mm Oval Closet Tubing. 15 mm x 30 mm x 2.5 Meter. Satin Nickel Finish",843512070907,0.00000,10.00000,$18.58,$18.58,$41.29
15302SN-40,Organizers,,"4 Boxes of 10 Satin Nickel 1.0 mm x 8' Long Oval Steel Closet Rods",196734033978,0.00000,1.00000,$743.20,$743.20,"$1,651.55"
153092CH-10,Organizers,,"19/32""x1-3/16""x92"" Oval Chrome Steel 1 Box of 10 Closet Rods  Same as item 15302CH-10 but in 92in length. Minimum order of 1 box of 10 rods. Each item number is 1 box of 10 rods. No broken boxes.",196734039697,0.00000,1.00000,$113.92,$113.92,$253.17
153092MB-10,Organizers,,"19/32""x1-3/16""x92"" Oval Matte Black Steel 1 Box of 10 Closet  Same as item 15302MB-10 but in 92in length. Minimum order of 1 box of 10 rods. Each item number is 1 box of 10 rods. No broken boxes.",196734039703,0.00000,1.00000,$113.92,$113.92,$253.17
153092SN-10,Organizers,,"19/32""x1-3/16""x92"" Oval Satin Nickel Steel 1 Box of 10 Close Same as item 15302SN-10 but in 92in length. Minimum order of 1 box of 10 rods. Each item number is 1 box of 10 rods. No broken boxes.",196734039710,0.00000,1.00000,$156.74,$156.74,$348.32
1530CH,Organizers,,"Shelf & Rod Support Bracket.1"" Wide Steel Design Supports up to 150 lbs per Bracket.Designed for Use with Hardware Resources 15 mm x 30 mm Oval Closet Rods.Finish: Chrome",843512038792,2.00000,20.00000,$11.44,$11.44,$25.42
1530MB,Organizers,,"Shelf & Rod Support Bracket for 1530 Series Closet Rod, Matte Black",196734031776,2.00000,20.00000,$12.03,$12.03,$26.74
1530ORB,Organizers,,"Shelf & Rod Support Bracket.1"" Wide Steel Design Supports up to 150 lbs per Bracket.Designed for Use with Hardware Resources 15 mm x 30 mm Oval Closet Rods.Finish:Oil Rubbed Bronze",843512038808,2.00000,20.00000,$8.51,$8.51,$24.32
1530SN,Organizers,,"Shelf & Rod Support Bracket.1"" Wide Steel Design Supports up to 150 lbs per Bracket.Designed for Use with Hardware Resources 15 mm x 30 mm Oval Closet Rods.Finish: Satin Nickel",843512051838,2.00000,20.00000,$12.32,$12.32,$27.37
1532,Organizers,,"33"" Expanding to 48"" Wardrobe Lifter Chrome Tubing with Black Plastic.45 lb Weight Rating",843512070914,1.00000,6.00000,$79.33,$79.33,$176.29
1532-BLK,Organizers,,"33"" Expanding to 48"" Wardrobe Lift Black Powder Coated Tubing with Black Plastic.45 lb Weight Load Rating",843512070921,1.00000,6.00000,$79.38,$79.38,$176.40
1532SC-BLK,Organizers,,"Soft-close Wardrobe Lift 33"" Expanding to 48"".Black Powder Coat Steel Tubing with Black Plastic Housing.Twist and Lock Adjustable Pole with Ergonomic Handle.Mounting Brackets Allow for Easy Install and Clean Finished Look.45 lb Weight Capacity",843512070938,1.00000,4.00000,$97.76,$97.76,$217.23
1532SC-PC,Organizers,,"Soft-close Wardrobe Lift 33"" Expanding to 48"".Polished Chrome Steel Tubing with Silver Plastic Housing.Twist and Lock Adjustable Pole with Ergonomic Handle.Mounting Brackets Allow for Easy Install and Clean Finished Look.45 lb Weight Capacity",843512070945,1.00000,4.00000,$97.74,$97.74,$217.18
276LV-DBAC,Organizers,,"Brushed Oil Rubbed Bronze Adjustable Laundry Valet.6 Hole Design.Four Locking Positions with a 35 lb Weight Capacity",843512073045,4.00000,32.00000,$16.39,$16.39,$36.41
276LV-MB,Organizers,,"Matte Black Adjustable Laundry Valet",196734035361,4.00000,32.00000,$15.58,$15.58,$34.61
276LV-PC,Organizers,,"Polished ChromeAdjustable Laundry Valet.6 Hole Design.Four Locking Positions with a 35 lb Weight Capacity",843512070952,4.00000,32.00000,$13.89,$13.89,$30.85
276LV-SN,Organizers,,"Satin Nickel Adjustable Laundry Valet.6 Hole Design.Four Locking Positions with a 35 lb Weight Capacity",843512070969,4.00000,32.00000,$16.44,$16.44,$36.52
